"TaskPath","TaskName","State","LastRunTime","LastTaskResult","NextRunTime"
"\Microsoft\Windows\input\","TouchpadSyncDataAvailable","Ready","1999/11/30 00:00:00","267011",
"\Microsoft\Windows\InstallService\","WakeUpAndContinueUpdates","Disabled","1999/11/30 00:00:00","267011",
"\Microsoft\Windows\InstallService\","WakeUpAndScanForUpdates","Disabled","1999/11/30 00:00:00","267011","2026/09/22 22:35:36"
"\Microsoft\Windows\Location\","Notifications","Ready","2026/09/21 10:16:59","2147942402",
"\Microsoft\Windows\Location\","WindowsActionDialog","Ready","1999/11/30 00:00:00","267011",
"\Microsoft\Windows\Management\Autopilot\","DetectHardwareChange","Disabled","1999/11/30 00:00:00","267011",
"\Microsoft\Windows\Management\Autopilot\","RemediateHardwareChange","Disabled","1999/11/30 00:00:00","267011",
"\Microsoft\Windows\Management\Provisioning\","Cellular","Ready","1999/11/30 00:00:00","267011",
"\Microsoft\Windows\Management\Provisioning\","MdmDiagnosticsCleanup","Disabled","1999/11/30 00:00:00","267011",
"\Microsoft\Windows\Management\Provisioning\","Retry","Disabled","1999/11/30 00:00:00","267011",
"\Microsoft\Windows\Management\Provisioning\","RunOnReboot","Disabled","1999/11/30 00:00:00","267011",
"\Microsoft\Windows\Maps\","MapsToastTask","Ready","1999/11/30 00:00:00","267011",
"\Microsoft\Windows\Maps\","MapsUpdateTask","Disabled","1999/11/30 00:00:00","267011","2026/09/22 00:55:02"
"\Microsoft\Windows\MemoryDiagnostic\","AutomaticOfflineMemoryDiagnostic","Ready","2026/09/17 09:02:56","2147746065",
"\Microsoft\Windows\MemoryDiagnostic\","ProcessMemoryDiagnosticEvents","Ready","2026/09/20 15:43:42","2147946720",
"\Microsoft\Windows\MemoryDiagnostic\","RunFullMemoryDiagnostic","Disabled","1999/11/30 00:00:00","267011",
"\Microsoft\Windows\Multimedia\","SystemSoundsService","Running","2026/09/17 08:59:40","267009",
"\Microsoft\Windows\NlaSvc\","WiFiTask","Ready","1999/11/30 00:00:00","267011",
"\Microsoft\Windows\PCRPF\","PCR Prediction Framework Firmware Update Task","Ready","1999/11/30 00:00:00","267011",
"\Microsoft\Windows\PerformanceTrace\","ShowFeedbackToast","Ready","1999/11/30 00:00:00","267011",
"\Microsoft\Windows\PerformanceTrace\","WhesvcToast","Ready","1999/11/30 00:00:00","267011",
"\Microsoft\Windows\Plug and Play\","Device Install Group Policy","Ready","1999/11/30 00:00:00","267011",
"\Microsoft\Windows\Plug and Play\","Sysprep Generalize Drivers","Ready","1999/11/30 00:00:00","267011",
"\Microsoft\Windows\Power Efficiency Diagnostics\","AnalyzeSystem","Ready","2026/09/20 15:44:07","2147943467",
"\Microsoft\Windows\Printing\","EduPrintProv","Ready","1999/11/30 00:00:00","267011",
"\Microsoft\Windows\ReFsDedupSvc\","Initialization","Ready","1999/11/30 00:00:00","267011",
"\Microsoft\Windows\Security\Pwdless\","IntelligentPwdlessTask","Ready","2026/09/20 15:43:42","2147746132","2026/09/22 03:00:00"
"\Microsoft\Windows\Servicing\","StartComponentCleanup","Ready","2026/09/20 15:44:07","2147943467",
"\Microsoft\Windows\SharedPC\","Account Cleanup","Disabled","1999/11/30 00:00:00","267011",
"\Microsoft\Windows\Shell\","FamilySafetyMonitor","Ready","1999/11/30 00:00:00","267011",
"\Microsoft\Windows\Shell\","FamilySafetyRefreshTask","Ready","1999/11/30 00:00:00","267011",
"\Microsoft\Windows\Shell\","ThemesSyncedImageDownload","Ready","2026/09/20 15:43:42","2147942583",
"\Microsoft\Windows\Shell\","UpdateUserPictureTask","Ready","1999/11/30 00:00:00","267011",
"\Microsoft\Windows\Shell\","UpdateUserPictureTaskContained","Ready","1999/11/30 00:00:00","267011",
"\Microsoft\Windows\SpacePort\","SpaceAgentTask","Ready","1999/11/30 00:00:00","267011",
"\Microsoft\Windows\SpacePort\","SpaceManagerTask","Ready","1999/11/30 00:00:00","267011",
"\Microsoft\Windows\Storage Tiers Management\","Storage Tiers Management Initialization","Ready","1999/11/30 00:00:00","267011",
"\Microsoft\Windows\Storage Tiers Management\","Storage Tiers Optimization","Disabled","1999/11/30 00:00:00","267011","2026/09/21 13:00:00"
"\Microsoft\Windows\Subscription\","LicenseAcquisition","Disabled","1999/11/30 00:00:00","267011","2026/09/22 07:18:42"
"\Microsoft\Windows\Sustainability\","PowerGridForecastTask","Ready","2026/09/20 15:23:24","2147946720","2026/09/21 12:26:35"
"\Microsoft\Windows\Sysmain\","HybridDriveCachePrepopulate","Disabled","1999/11/30 00:00:00","267011",
"\Microsoft\Windows\Sysmain\","HybridDriveCacheRebalance","Disabled","1999/11/30 00:00:00","267011",
"\Microsoft\Windows\Task Manager\","Interactive","Ready","1999/11/30 00:00:00","267011",
"\Microsoft\Windows\UPnP\","UPnPHostConfig","Ready","1999/11/30 00:00:00","267011",
"\Microsoft\Windows\USB\","Usb-Notifications","Ready","1999/11/30 00:00:00","267011",
"\Microsoft\Windows\WDI\","ResolutionHost","Running","2026/09/17 21:37:20","267009",
"\Microsoft\Windows\Windows Defender\","Windows Defender Scheduled Scan","Ready","2026/09/20 15:43:42","2",
"\Microsoft\Windows\Windows Filtering Platform\","BfeOnServiceStartTypeChange","Ready","1999/11/30 00:00:00","267011",
"\Microsoft\Windows\Windows Media Sharing\","UpdateLibrary","Ready","1999/11/30 00:00:00","267011",
"\Microsoft\Windows\WindowsUpdate\","Scheduled Start","Ready","1999/11/30 00:00:00","267011",
"\Microsoft\Windows\Wininet\","CacheTask","Running","2026/09/17 08:59:40","267009",
"\Microsoft\Windows\WlanSvc\","MoProfileManagement","Ready","1999/11/30 00:00:00","267011",
"\Microsoft\Windows\Workplace Join\","Automatic-Device-Join","Disabled","1999/11/30 00:00:00","267011",
"\Microsoft\Windows\Workplace Join\","Device-Sync","Disabled","1999/11/30 00:00:00","267011",
"\Microsoft\Windows\Workplace Join\","Recovery-Check","Disabled","1999/11/30 00:00:00","267011",
"\Microsoft\Windows\WwanSvc\","NotificationTask","Ready","1999/11/30 00:00:00","267011",
"\Microsoft\XblGameSave\","XblGameSaveTask","Ready","1999/11/30 00:00:00","267011",
"\SoftLanding\S-1-5-21-1516121566-3568823032-547977885-1001\","SoftLandingCreativeManagementTask","Ready","2026/09/21 09:15:38","2147954407","2026/09/21 20:43:02"
